Ligand,Binding Affinity,rmsd/ub, rmsd/lb
model_02_(1)_8063_uff_E=26.40,-4,7.916,6.63
model_02_(1)_8063_uff_E=26.40,-3.7,8.637,7.316
model_02_(1)_8063_uff_E=26.40,-3.7,2.461,1.793
model_02_(1)_8063_uff_E=26.40,-3.6,8.407,7.281
model_02_(1)_8063_uff_E=26.40,-3.6,4.296,2.989
model_02_(1)_8063_uff_E=26.40,-3.5,2.082,1.797
model_02_(1)_8063_uff_E=26.40,-3.4,9.037,7.744
model_02_(1)_8130_uff_E=24.07,-4.7,0,0
model_02_(1)_8130_uff_E=24.07,-4.5,2.195,1.525
model_02_(1)_8130_uff_E=24.07,-4.4,8.175,5.309
model_02_(1)_8130_uff_E=24.07,-4.4,7.833,5.149
model_02_(1)_8130_uff_E=24.07,-4,9.473,7.617
model_02_(1)_8130_uff_E=24.07,-3.9,9.502,7.119
model_02_(1)_8130_uff_E=24.07,-3.9,9.024,6.919
model_02_(1)_8130_uff_E=24.07,-3.9,9.131,6.656
model_02_(1)_8130_uff_E=24.07,-3.7,9.405,7.291
model_02_(1)_8181_uff_E=66.14,-5.2,0,0
model_02_(1)_8181_uff_E=66.14,-5,2.181,1.565
model_02_(1)_8181_uff_E=66.14,-5,6.889,3.742
model_02_(1)_8181_uff_E=66.14,-4.9,6.659,4.407
model_02_(1)_8181_uff_E=66.14,-4.8,7.713,4.273
model_02_(1)_8181_uff_E=66.14,-4.7,7.585,5.095
model_02_(1)_8181_uff_E=66.14,-4.7,7.354,5.134
model_02_(1)_8181_uff_E=66.14,-4.7,7.149,3.609
model_02_(1)_8181_uff_E=66.14,-4.5,9.159,7.116
model_02_(1)_875_uff_E=76.10,-6,0,0
model_02_(1)_875_uff_E=76.10,-6,3.794,0.022
model_02_(1)_875_uff_E=76.10,-5.2,2.017,1.132
model_02_(1)_875_uff_E=76.10,-5.2,3.713,1.144
model_02_(1)_875_uff_E=76.10,-5,1.902,0.971
model_02_(1)_875_uff_E=76.10,-4.7,22.005,20.887
model_02_(1)_875_uff_E=76.10,-4.5,20.714,19.087
model_02_(1)_875_uff_E=76.10,-4.5,20.996,19.204
model_02_(1)_875_uff_E=76.10,-4.4,21.192,20.088
model_02_(1)_971_uff_E=8.52,-4.9,0,0
model_02_(1)_971_uff_E=8.52,-4.9,2.412,0.02
model_02_(1)_971_uff_E=8.52,-4.6,2.199,0.99
model_02_(1)_971_uff_E=8.52,-4.2,20.268,19.83
model_02_(1)_971_uff_E=8.52,-4,20.351,19.772
model_02_(1)_971_uff_E=8.52,-3.8,21.025,20.277
model_02_(1)_971_uff_E=8.52,-3.7,21.186,20.265
model_02_(1)_971_uff_E=8.52,-3.6,20.674,19.933
model_02_(1)_971_uff_E=8.52,-3.6,15.878,15.418
